pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,take_profit,stop_loss,hold_days,min_entity_board_ratio,min_consecutive_limit_up,require_oversold,require_low_close,volume_shrink_ratio_min,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
0.06,0.11,0.41,0.057,-0.103,7,0.6,2,False,False,0.1,0.5088,0.024,2.555,57,3.48,7.06,5.0,-10.5,0.7258
0.06,0.11,0.41,0.057,-0.103,7,0.55,2,False,False,0.1,0.5088,0.024,2.555,57,3.48,7.06,5.0,-10.5,0.7258
0.06,0.11,0.41,0.057,-0.103,7,0.5,2,False,False,0.1,0.5088,0.024,2.555,57,3.48,7.06,5.0,-10.5,0.7258
0.06,0.11,0.41,0.057,-0.103,7,0.45,2,False,False,0.1,0.5088,0.024,2.555,57,3.48,7.06,5.0,-10.5,0.7258
0.06,0.11,0.41,0.057,-0.103,7,0.65,2,False,False,0.1,0.5088,0.024,2.555,57,3.48,7.06,5.0,-10.5,0.7258
0.06,0.11,0.41,0.057,-0.108,8,0.5,2,False,False,0.1,0.5088,0.0235,2.4568,57,3.32,6.8,5.0,-11.0,0.7229
0.06,0.11,0.41,0.057,-0.108,8,0.55,2,False,False,0.1,0.5088,0.0235,2.4568,57,3.32,6.8,5.0,-11.0,0.7229
0.06,0.11,0.41,0.057,-0.108,7,0.6,2,False,False,0.1,0.5088,0.0235,2.4568,57,3.32,6.8,5.0,-11.0,0.7229
0.06,0.11,0.41,0.057,-0.108,7,0.65,2,False,False,0.1,0.5088,0.0235,2.4568,57,3.32,6.8,5.0,-11.0,0.7229
0.06,0.11,0.41,0.057,-0.108,8,0.45,2,False,False,0.1,0.5088,0.0235,2.4568,57,3.32,6.8,5.0,-11.0,0.7229
0.06,0.11,0.41,0.057,-0.108,7,0.5,2,False,False,0.1,0.5088,0.0235,2.4568,57,3.32,6.8,5.0,-11.0,0.7229
0.06,0.11,0.41,0.057,-0.108,8,0.65,2,False,False,0.1,0.5088,0.0235,2.4568,57,3.32,6.8,5.0,-11.0,0.7229
0.06,0.11,0.41,0.057,-0.108,8,0.6,2,False,False,0.1,0.5088,0.0235,2.4568,57,3.32,6.8,5.0,-11.0,0.7229
0.06,0.11,0.41,0.057,-0.108,7,0.45,2,False,False,0.1,0.5088,0.0235,2.4568,57,3.32,6.8,5.0,-11.0,0.7229
0.06,0.11,0.41,0.057,-0.108,7,0.55,2,False,False,0.1,0.5088,0.0235,2.4568,57,3.32,6.8,5.0,-11.0,0.7229
0.06,0.11,0.41,0.057,-0.098,7,0.5,2,False,False,0.1,0.5088,0.0227,2.2967,57,3.05,6.53,5.0,-14.55,0.7172
0.06,0.11,0.41,0.057,-0.098,7,0.55,2,False,False,0.1,0.5088,0.0227,2.2967,57,3.05,6.53,5.0,-14.55,0.7172
0.06,0.11,0.41,0.057,-0.098,7,0.6,2,False,False,0.1,0.5088,0.0227,2.2967,57,3.05,6.53,5.0,-14.55,0.7172
0.06,0.11,0.41,0.057,-0.098,7,0.65,2,False,False,0.1,0.5088,0.0227,2.2967,57,3.05,6.53,5.0,-14.55,0.7172
0.06,0.11,0.41,0.057,-0.098,7,0.45,2,False,False,0.1,0.5088,0.0227,2.2967,57,3.05,6.53,5.0,-14.55,0.7172
0.06,0.11,0.4,0.057,-0.103,7,0.5,2,False,False,0.1,0.5,0.0233,2.1941,54,3.39,6.72,5.0,-10.85,0.716
0.06,0.11,0.4,0.057,-0.103,7,0.65,2,False,False,0.1,0.5,0.0233,2.1941,54,3.39,6.72,5.0,-10.85,0.716
0.06,0.11,0.4,0.057,-0.103,7,0.6,2,False,False,0.1,0.5,0.0233,2.1941,54,3.39,6.72,5.0,-10.85,0.716
0.06,0.11,0.4,0.057,-0.103,7,0.45,2,False,False,0.1,0.5,0.0233,2.1941,54,3.39,6.72,5.0,-10.85,0.716
0.06,0.11,0.4,0.057,-0.103,7,0.55,2,False,False,0.1,0.5,0.0233,2.1941,54,3.39,6.72,5.0,-10.85,0.716
0.06,0.1,0.41,0.067,-0.103,8,0.6,2,False,False,0.1,0.4783,0.0252,1.8899,46,3.5,6.59,5.0,-10.5,0.7159
0.06,0.1,0.41,0.067,-0.103,8,0.45,2,False,False,0.1,0.4783,0.0252,1.8899,46,3.5,6.59,5.0,-10.5,0.7159
0.06,0.1,0.41,0.067,-0.103,8,0.65,2,False,False,0.1,0.4783,0.0252,1.8899,46,3.5,6.59,5.0,-10.5,0.7159
0.06,0.1,0.41,0.067,-0.103,8,0.55,2,False,False,0.1,0.4783,0.0252,1.8899,46,3.5,6.59,5.0,-10.5,0.7159
0.06,0.1,0.41,0.067,-0.103,8,0.5,2,False,False,0.1,0.4783,0.0252,1.8899,46,3.5,6.59,5.0,-10.5,0.7159
0.06,0.1,0.42,0.067,-0.108,8,0.55,2,False,False,0.1,0.4706,0.0248,2.1871,51,3.71,6.6,5.0,-15.65,0.7138
0.06,0.1,0.42,0.067,-0.108,8,0.6,2,False,False,0.1,0.4706,0.0248,2.1871,51,3.71,6.6,5.0,-15.65,0.7138
0.06,0.1,0.42,0.067,-0.108,8,0.65,2,False,False,0.1,0.4706,0.0248,2.1871,51,3.71,6.6,5.0,-15.65,0.7138
0.06,0.11,0.41,0.057,-0.088,7,0.65,2,False,False,0.1,0.5088,0.0221,2.1948,57,2.89,6.38,5.0,-12.64,0.7134
0.06,0.11,0.41,0.057,-0.088,7,0.6,2,False,False,0.1,0.5088,0.0221,2.1948,57,2.89,6.38,5.0,-12.64,0.7134
0.06,0.11,0.41,0.057,-0.088,7,0.45,2,False,False,0.1,0.5088,0.0221,2.1948,57,2.89,6.38,5.0,-12.64,0.7134
0.06,0.11,0.41,0.057,-0.088,7,0.5,2,False,False,0.1,0.5088,0.0221,2.1948,57,2.89,6.38,5.0,-12.64,0.7134
0.06,0.11,0.41,0.057,-0.088,7,0.55,2,False,False,0.1,0.5088,0.0221,2.1948,57,2.89,6.38,5.0,-12.64,0.7134
0.06,0.11,0.4,0.057,-0.108,8,0.5,2,False,False,0.1,0.5,0.0228,2.1059,54,3.24,6.46,5.0,-11.84,0.7129
0.06,0.11,0.4,0.057,-0.108,7,0.5,2,False,False,0.1,0.5,0.0228,2.1059,54,3.24,6.46,5.0,-11.84,0.7129
0.06,0.11,0.4,0.057,-0.108,8,0.6,2,False,False,0.1,0.5,0.0228,2.1059,54,3.24,6.46,5.0,-11.84,0.7129
0.06,0.11,0.4,0.057,-0.108,8,0.55,2,False,False,0.1,0.5,0.0228,2.1059,54,3.24,6.46,5.0,-11.84,0.7129
0.06,0.11,0.4,0.057,-0.108,8,0.65,2,False,False,0.1,0.5,0.0228,2.1059,54,3.24,6.46,5.0,-11.84,0.7129
0.06,0.11,0.4,0.057,-0.108,7,0.45,2,False,False,0.1,0.5,0.0228,2.1059,54,3.24,6.46,5.0,-11.84,0.7129
0.06,0.11,0.4,0.057,-0.108,8,0.45,2,False,False,0.1,0.5,0.0228,2.1059,54,3.24,6.46,5.0,-11.84,0.7129
0.06,0.11,0.4,0.057,-0.108,7,0.65,2,False,False,0.1,0.5,0.0228,2.1059,54,3.24,6.46,5.0,-11.84,0.7129
0.06,0.11,0.4,0.057,-0.108,7,0.6,2,False,False,0.1,0.5,0.0228,2.1059,54,3.24,6.46,5.0,-11.84,0.7129
0.06,0.11,0.4,0.057,-0.108,7,0.55,2,False,False,0.1,0.5,0.0228,2.1059,54,3.24,6.46,5.0,-11.84,0.7129
0.06,0.1,0.4,0.067,-0.103,8,0.65,2,False,False,0.1,0.4773,0.0248,1.7135,44,3.38,6.4,5.0,-14.7,0.712
0.06,0.1,0.4,0.067,-0.103,8,0.55,2,False,False,0.1,0.4773,0.0248,1.7135,44,3.38,6.4,5.0,-14.7,0.712
0.06,0.1,0.4,0.067,-0.103,8,0.5,2,False,False,0.1,0.4773,0.0248,1.7135,44,3.38,6.4,5.0,-14.7,0.712
0.06,0.1,0.4,0.067,-0.103,8,0.45,2,False,False,0.1,0.4773,0.0248,1.7135,44,3.38,6.4,5.0,-14.7,0.712
0.06,0.1,0.4,0.067,-0.103,8,0.6,2,False,False,0.1,0.4773,0.0248,1.7135,44,3.38,6.4,5.0,-14.7,0.712
0.06,0.11,0.41,0.062,-0.108,8,0.5,2,False,False,0.1,0.4737,0.0236,2.4547,57,3.82,6.68,5.0,-11.0,0.7109
0.06,0.11,0.41,0.062,-0.108,8,0.55,2,False,False,0.1,0.4737,0.0236,2.4547,57,3.82,6.68,5.0,-11.0,0.7109
0.06,0.11,0.41,0.062,-0.108,8,0.65,2,False,False,0.1,0.4737,0.0236,2.4547,57,3.82,6.68,5.0,-11.0,0.7109
0.06,0.11,0.41,0.062,-0.108,8,0.6,2,False,False,0.1,0.4737,0.0236,2.4547,57,3.82,6.68,5.0,-11.0,0.7109
0.06,0.11,0.41,0.062,-0.108,8,0.45,2,False,False,0.1,0.4737,0.0236,2.4547,57,3.82,6.68,5.0,-11.0,0.7109
0.06,0.11,0.41,0.067,-0.108,8,0.5,2,False,False,0.1,0.4561,0.0244,2.6148,57,4.21,6.78,5.0,-11.0,0.7106
0.06,0.11,0.41,0.067,-0.108,8,0.65,2,False,False,0.1,0.4561,0.0244,2.6148,57,4.21,6.78,5.0,-11.0,0.7106
0.06,0.11,0.41,0.067,-0.108,8,0.45,2,False,False,0.1,0.4561,0.0244,2.6148,57,4.21,6.78,5.0,-11.0,0.7106
0.06,0.11,0.41,0.067,-0.108,8,0.55,2,False,False,0.1,0.4561,0.0244,2.6148,57,4.21,6.78,5.0,-11.0,0.7106
0.06,0.11,0.41,0.067,-0.108,8,0.6,2,False,False,0.1,0.4561,0.0244,2.6148,57,4.21,6.78,5.0,-11.0,0.7106
0.06,0.1,0.41,0.057,-0.098,7,0.65,2,False,False,0.1,0.5,0.0231,1.6569,46,3.13,6.42,5.0,-18.87,0.7097
0.06,0.1,0.41,0.057,-0.098,7,0.6,2,False,False,0.1,0.5,0.0231,1.6569,46,3.13,6.42,5.0,-18.87,0.7097
0.06,0.1,0.41,0.057,-0.098,7,0.45,2,False,False,0.1,0.5,0.0231,1.6569,46,3.13,6.42,5.0,-18.87,0.7097
0.06,0.1,0.41,0.057,-0.098,7,0.5,2,False,False,0.1,0.5,0.0231,1.6569,46,3.13,6.42,5.0,-18.87,0.7097
0.06,0.1,0.41,0.057,-0.098,7,0.55,2,False,False,0.1,0.5,0.0231,1.6569,46,3.13,6.42,5.0,-18.87,0.7097
0.06,0.11,0.42,0.057,-0.098,7,0.6,2,False,False,0.1,0.5,0.0212,2.4837,64,2.94,6.13,5.0,-23.1,0.7091
0.06,0.11,0.42,0.057,-0.098,7,0.55,2,False,False,0.1,0.5,0.0212,2.4837,64,2.94,6.13,5.0,-23.1,0.7091
0.06,0.11,0.42,0.057,-0.098,7,0.65,2,False,False,0.1,0.5,0.0212,2.4837,64,2.94,6.13,5.0,-23.1,0.7091
0.06,0.11,0.41,0.057,-0.093,8,0.65,2,False,False,0.1,0.5088,0.0214,2.0672,57,2.73,6.05,5.0,-13.6,0.709
0.06,0.11,0.41,0.057,-0.093,8,0.6,2,False,False,0.1,0.5088,0.0214,2.0672,57,2.73,6.05,5.0,-13.6,0.709
0.06,0.11,0.41,0.057,-0.093,8,0.55,2,False,False,0.1,0.5088,0.0214,2.0672,57,2.73,6.05,5.0,-13.6,0.709
0.06,0.11,0.41,0.057,-0.093,8,0.5,2,False,False,0.1,0.5088,0.0214,2.0672,57,2.73,6.05,5.0,-13.6,0.709
0.06,0.11,0.41,0.057,-0.093,7,0.5,2,False,False,0.1,0.5088,0.0214,2.0672,57,2.73,6.05,5.0,-13.6,0.709
0.06,0.11,0.41,0.057,-0.093,7,0.55,2,False,False,0.1,0.5088,0.0214,2.0672,57,2.73,6.05,5.0,-13.6,0.709
0.06,0.11,0.41,0.057,-0.093,8,0.45,2,False,False,0.1,0.5088,0.0214,2.0672,57,2.73,6.05,5.0,-13.6,0.709
0.06,0.11,0.41,0.057,-0.093,7,0.65,2,False,False,0.1,0.5088,0.0214,2.0672,57,2.73,6.05,5.0,-13.6,0.709
0.06,0.11,0.41,0.057,-0.093,7,0.6,2,False,False,0.1,0.5088,0.0214,2.0672,57,2.73,6.05,5.0,-13.6,0.709
0.06,0.11,0.41,0.057,-0.093,7,0.45,2,False,False,0.1,0.5088,0.0214,2.0672,57,2.73,6.05,5.0,-13.6,0.709
0.06,0.1,0.41,0.067,-0.093,8,0.45,2,False,False,0.1,0.4783,0.0241,1.7552,46,3.2,6.28,5.0,-15.94,0.7089
0.06,0.1,0.41,0.067,-0.093,8,0.6,2,False,False,0.1,0.4783,0.0241,1.7552,46,3.2,6.28,5.0,-15.94,0.7089
0.06,0.1,0.41,0.067,-0.093,8,0.65,2,False,False,0.1,0.4783,0.0241,1.7552,46,3.2,6.28,5.0,-15.94,0.7089
0.06,0.1,0.41,0.067,-0.093,8,0.55,2,False,False,0.1,0.4783,0.0241,1.7552,46,3.2,6.28,5.0,-15.94,0.7089
0.06,0.1,0.41,0.067,-0.093,8,0.5,2,False,False,0.1,0.4783,0.0241,1.7552,46,3.2,6.28,5.0,-15.94,0.7089
0.06,0.11,0.43,0.057,-0.103,7,0.6,2,False,False,0.1,0.5,0.0208,2.5232,66,2.87,5.95,5.0,-15.5,0.7078
0.06,0.11,0.43,0.057,-0.103,7,0.55,2,False,False,0.1,0.5,0.0208,2.5232,66,2.87,5.95,5.0,-15.5,0.7078
0.06,0.11,0.43,0.057,-0.103,7,0.65,2,False,False,0.1,0.5,0.0208,2.5232,66,2.87,5.95,5.0,-15.5,0.7078
0.06,0.11,0.4,0.057,-0.098,7,0.45,2,False,False,0.1,0.5,0.0219,1.962,54,2.98,6.18,5.0,-18.87,0.707
0.06,0.1,0.4,0.057,-0.098,7,0.55,2,False,False,0.1,0.5,0.0229,1.5184,44,3.02,6.26,5.0,-18.87,0.707
0.06,0.1,0.4,0.057,-0.098,7,0.6,2,False,False,0.1,0.5,0.0229,1.5184,44,3.02,6.26,5.0,-18.87,0.707
0.06,0.1,0.4,0.057,-0.098,7,0.65,2,False,False,0.1,0.5,0.0229,1.5184,44,3.02,6.26,5.0,-18.87,0.707
0.06,0.11,0.4,0.057,-0.098,7,0.5,2,False,False,0.1,0.5,0.0219,1.962,54,2.98,6.18,5.0,-18.87,0.707
0.06,0.11,0.4,0.057,-0.098,7,0.55,2,False,False,0.1,0.5,0.0219,1.962,54,2.98,6.18,5.0,-18.87,0.707
0.06,0.11,0.4,0.057,-0.098,7,0.6,2,False,False,0.1,0.5,0.0219,1.962,54,2.98,6.18,5.0,-18.87,0.707
0.06,0.11,0.4,0.057,-0.098,7,0.65,2,False,False,0.1,0.5,0.0219,1.962,54,2.98,6.18,5.0,-18.87,0.707
0.06,0.1,0.4,0.057,-0.098,7,0.5,2,False,False,0.1,0.5,0.0229,1.5184,44,3.02,6.26,5.0,-18.87,0.707
0.06,0.1,0.4,0.057,-0.098,7,0.45,2,False,False,0.1,0.5,0.0229,1.5184,44,3.02,6.26,5.0,-18.87,0.707
0.06,0.11,0.41,0.057,-0.083,7,0.65,2,False,False,0.1,0.5088,0.0211,2.0106,57,2.65,6.0,5.0,-11.68,0.7066
0.06,0.11,0.41,0.057,-0.083,7,0.45,2,False,False,0.1,0.5088,0.0211,2.0106,57,2.65,6.0,5.0,-11.68,0.7066
0.06,0.11,0.41,0.057,-0.083,8,0.45,2,False,False,0.1,0.5088,0.0211,2.0106,57,2.65,6.0,5.0,-11.68,0.7066
0.06,0.11,0.41,0.057,-0.083,8,0.5,2,False,False,0.1,0.5088,0.0211,2.0106,57,2.65,6.0,5.0,-11.68,0.7066
0.06,0.11,0.41,0.057,-0.083,8,0.55,2,False,False,0.1,0.5088,0.0211,2.0106,57,2.65,6.0,5.0,-11.68,0.7066
0.06,0.11,0.41,0.057,-0.083,8,0.65,2,False,False,0.1,0.5088,0.0211,2.0106,57,2.65,6.0,5.0,-11.68,0.7066
0.06,0.11,0.41,0.057,-0.083,8,0.6,2,False,False,0.1,0.5088,0.0211,2.0106,57,2.65,6.0,5.0,-11.68,0.7066
0.06,0.11,0.41,0.057,-0.083,7,0.6,2,False,False,0.1,0.5088,0.0211,2.0106,57,2.65,6.0,5.0,-11.68,0.7066
0.06,0.11,0.41,0.057,-0.083,7,0.55,2,False,False,0.1,0.5088,0.0211,2.0106,57,2.65,6.0,5.0,-11.68,0.7066
0.06,0.11,0.41,0.057,-0.083,7,0.5,2,False,False,0.1,0.5088,0.0211,2.0106,57,2.65,6.0,5.0,-11.68,0.7066
0.06,0.1,0.41,0.057,-0.103,8,0.6,2,False,False,0.1,0.5,0.0225,1.5785,46,2.97,6.12,5.0,-10.85,0.7058
0.06,0.1,0.41,0.057,-0.103,8,0.5,2,False,False,0.1,0.5,0.0225,1.5785,46,2.97,6.12,5.0,-10.85,0.7058
0.06,0.1,0.41,0.057,-0.103,8,0.45,2,False,False,0.1,0.5,0.0225,1.5785,46,2.97,6.12,5.0,-10.85,0.7058
0.06,0.1,0.41,0.057,-0.103,8,0.65,2,False,False,0.1,0.5,0.0225,1.5785,46,2.97,6.12,5.0,-10.85,0.7058
0.06,0.1,0.41,0.057,-0.103,8,0.55,2,False,False,0.1,0.5,0.0225,1.5785,46,2.97,6.12,5.0,-10.85,0.7058
0.06,0.11,0.41,0.057,-0.098,8,0.5,2,False,False,0.1,0.5088,0.0209,1.9669,57,2.61,5.79,5.0,-14.55,0.7055
0.06,0.11,0.41,0.057,-0.098,8,0.65,2,False,False,0.1,0.5088,0.0209,1.9669,57,2.61,5.79,5.0,-14.55,0.7055
0.06,0.11,0.41,0.057,-0.098,8,0.6,2,False,False,0.1,0.5088,0.0209,1.9669,57,2.61,5.79,5.0,-14.55,0.7055
0.06,0.11,0.41,0.057,-0.098,8,0.55,2,False,False,0.1,0.5088,0.0209,1.9669,57,2.61,5.79,5.0,-14.55,0.7055
0.06,0.11,0.41,0.057,-0.098,8,0.45,2,False,False,0.1,0.5088,0.0209,1.9669,57,2.61,5.79,5.0,-14.55,0.7055
0.06,0.1,0.41,0.067,-0.098,8,0.5,2,False,False,0.1,0.4783,0.0236,1.6799,46,3.07,6.03,5.0,-17.32,0.7053
0.06,0.1,0.42,0.057,-0.103,7,0.55,2,False,False,0.1,0.4902,0.0225,1.8699,51,3.31,6.36,5.0,-15.83,0.7053
0.06,0.1,0.42,0.057,-0.103,7,0.6,2,False,False,0.1,0.4902,0.0225,1.8699,51,3.31,6.36,5.0,-15.83,0.7053
0.06,0.1,0.41,0.067,-0.098,8,0.45,2,False,False,0.1,0.4783,0.0236,1.6799,46,3.07,6.03,5.0,-17.32,0.7053
0.06,0.1,0.42,0.057,-0.103,7,0.65,2,False,False,0.1,0.4902,0.0225,1.8699,51,3.31,6.36,5.0,-15.83,0.7053
0.06,0.1,0.41,0.067,-0.098,8,0.65,2,False,False,0.1,0.4783,0.0236,1.6799,46,3.07,6.03,5.0,-17.32,0.7053
0.06,0.1,0.41,0.067,-0.098,8,0.6,2,False,False,0.1,0.4783,0.0236,1.6799,46,3.07,6.03,5.0,-17.32,0.7053
0.06,0.1,0.41,0.067,-0.098,8,0.55,2,False,False,0.1,0.4783,0.0236,1.6799,46,3.07,6.03,5.0,-17.32,0.7053
0.06,0.1,0.41,0.067,-0.083,8,0.45,2,False,False,0.1,0.4783,0.0236,1.6915,46,3.07,6.18,5.0,-12.94,0.7052
0.06,0.1,0.41,0.067,-0.083,8,0.5,2,False,False,0.1,0.4783,0.0236,1.6915,46,3.07,6.18,5.0,-12.94,0.7052
0.06,0.1,0.41,0.067,-0.083,8,0.55,2,False,False,0.1,0.4783,0.0236,1.6915,46,3.07,6.18,5.0,-12.94,0.7052
0.06,0.1,0.41,0.067,-0.083,8,0.6,2,False,False,0.1,0.4783,0.0236,1.6915,46,3.07,6.18,5.0,-12.94,0.7052
0.06,0.1,0.41,0.067,-0.083,8,0.65,2,False,False,0.1,0.4783,0.0236,1.6915,46,3.07,6.18,5.0,-12.94,0.7052
0.06,0.1,0.4,0.067,-0.093,8,0.45,2,False,False,0.1,0.4773,0.0238,1.587,44,3.09,6.08,5.0,-15.94,0.7047
0.06,0.1,0.4,0.067,-0.093,8,0.5,2,False,False,0.1,0.4773,0.0238,1.587,44,3.09,6.08,5.0,-15.94,0.7047
0.06,0.1,0.4,0.067,-0.093,8,0.55,2,False,False,0.1,0.4773,0.0238,1.587,44,3.09,6.08,5.0,-15.94,0.7047
0.06,0.1,0.4,0.067,-0.093,8,0.6,2,False,False,0.1,0.4773,0.0238,1.587,44,3.09,6.08,5.0,-15.94,0.7047
0.06,0.1,0.4,0.067,-0.093,8,0.65,2,False,False,0.1,0.4773,0.0238,1.587,44,3.09,6.08,5.0,-15.94,0.7047
0.06,0.1,0.41,0.057,-0.088,7,0.5,2,False,False,0.1,0.5,0.0222,1.5484,46,2.89,6.14,5.0,-16.13,0.7035
0.06,0.1,0.41,0.057,-0.088,7,0.55,2,False,False,0.1,0.5,0.0222,1.5484,46,2.89,6.14,5.0,-16.13,0.7035
0.06,0.1,0.41,0.057,-0.088,7,0.6,2,False,False,0.1,0.5,0.0222,1.5484,46,2.89,6.14,5.0,-16.13,0.7035
0.06,0.1,0.41,0.057,-0.088,7,0.65,2,False,False,0.1,0.5,0.0222,1.5484,46,2.89,6.14,5.0,-16.13,0.7035
0.06,0.1,0.41,0.057,-0.088,7,0.45,2,False,False,0.1,0.5,0.0222,1.5484,46,2.89,6.14,5.0,-16.13,0.7035
0.06,0.1,0.41,0.062,-0.103,8,0.45,2,False,False,0.1,0.4783,0.0232,1.6552,46,3.31,6.21,5.0,-10.5,0.7029
0.06,0.1,0.41,0.062,-0.103,8,0.65,2,False,False,0.1,0.4783,0.0232,1.6552,46,3.31,6.21,5.0,-10.5,0.7029
0.06,0.1,0.41,0.062,-0.103,8,0.6,2,False,False,0.1,0.4783,0.0232,1.6552,46,3.31,6.21,5.0,-10.5,0.7029
0.06,0.1,0.41,0.062,-0.103,8,0.55,2,False,False,0.1,0.4783,0.0232,1.6552,46,3.31,6.21,5.0,-10.5,0.7029
0.06,0.1,0.41,0.062,-0.103,8,0.5,2,False,False,0.1,0.4783,0.0232,1.6552,46,3.31,6.21,5.0,-10.5,0.7029
0.06,0.1,0.4,0.057,-0.103,8,0.5,2,False,False,0.1,0.5,0.0223,1.4442,44,2.87,5.96,5.0,-15.5,0.7029
0.06,0.1,0.4,0.057,-0.103,8,0.45,2,False,False,0.1,0.5,0.0223,1.4442,44,2.87,5.96,5.0,-15.5,0.7029
0.06,0.11,0.4,0.057,-0.088,7,0.65,2,False,False,0.1,0.5,0.0213,1.8705,54,2.82,6.03,5.0,-16.13,0.7029
0.06,0.11,0.4,0.057,-0.088,7,0.6,2,False,False,0.1,0.5,0.0213,1.8705,54,2.82,6.03,5.0,-16.13,0.7029
0.06,0.1,0.4,0.057,-0.103,8,0.65,2,False,False,0.1,0.5,0.0223,1.4442,44,2.87,5.96,5.0,-15.5,0.7029
0.06,0.1,0.4,0.057,-0.103,8,0.6,2,False,False,0.1,0.5,0.0223,1.4442,44,2.87,5.96,5.0,-15.5,0.7029
0.06,0.11,0.4,0.057,-0.088,7,0.55,2,False,False,0.1,0.5,0.0213,1.8705,54,2.82,6.03,5.0,-16.13,0.7029
0.06,0.11,0.4,0.057,-0.088,7,0.5,2,False,False,0.1,0.5,0.0213,1.8705,54,2.82,6.03,5.0,-16.13,0.7029
0.06,0.11,0.4,0.057,-0.088,7,0.45,2,False,False,0.1,0.5,0.0213,1.8705,54,2.82,6.03,5.0,-16.13,0.7029
0.06,0.1,0.4,0.057,-0.103,8,0.55,2,False,False,0.1,0.5,0.0223,1.4442,44,2.87,5.96,5.0,-15.5,0.7029
0.06,0.11,0.41,0.057,-0.088,8,0.45,2,False,False,0.1,0.5088,0.0205,1.9072,57,2.53,5.73,5.0,-12.64,0.7028
0.06,0.11,0.41,0.057,-0.088,8,0.5,2,False,False,0.1,0.5088,0.0205,1.9072,57,2.53,5.73,5.0,-12.64,0.7028
0.06,0.11,0.41,0.057,-0.088,8,0.55,2,False,False,0.1,0.5088,0.0205,1.9072,57,2.53,5.73,5.0,-12.64,0.7028
0.06,0.1,0.41,0.067,-0.098,7,0.65,2,False,False,0.1,0.4565,0.0244,1.796,46,3.87,6.53,5.0,-17.32,0.7028
0.06,0.1,0.41,0.067,-0.098,7,0.6,2,False,False,0.1,0.4565,0.0244,1.796,46,3.87,6.53,5.0,-17.32,0.7028
0.06,0.1,0.41,0.067,-0.098,7,0.55,2,False,False,0.1,0.4565,0.0244,1.796,46,3.87,6.53,5.0,-17.32,0.7028
0.06,0.1,0.41,0.067,-0.098,7,0.5,2,False,False,0.1,0.4565,0.0244,1.796,46,3.87,6.53,5.0,-17.32,0.7028
0.06,0.1,0.41,0.067,-0.098,7,0.45,2,False,False,0.1,0.4565,0.0244,1.796,46,3.87,6.53,5.0,-17.32,0.7028
0.06,0.11,0.41,0.057,-0.088,8,0.65,2,False,False,0.1,0.5088,0.0205,1.9072,57,2.53,5.73,5.0,-12.64,0.7028
0.06,0.11,0.41,0.057,-0.088,8,0.6,2,False,False,0.1,0.5088,0.0205,1.9072,57,2.53,5.73,5.0,-12.64,0.7028
0.06,0.1,0.42,0.057,-0.108,7,0.65,2,False,False,0.1,0.4902,0.022,1.7906,51,3.16,6.1,5.0,-17.23,0.7021
0.06,0.1,0.42,0.057,-0.108,7,0.55,2,False,False,0.1,0.4902,0.022,1.7906,51,3.16,6.1,5.0,-17.23,0.7021
0.06,0.1,0.42,0.057,-0.108,8,0.6,2,False,False,0.1,0.4902,0.022,1.7906,51,3.16,6.1,5.0,-17.23,0.7021
0.06,0.1,0.42,0.057,-0.108,8,0.65,2,False,False,0.1,0.4902,0.022,1.7906,51,3.16,6.1,5.0,-17.23,0.7021
0.06,0.1,0.42,0.057,-0.108,7,0.6,2,False,False,0.1,0.4902,0.022,1.7906,51,3.16,6.1,5.0,-17.23,0.7021
0.06,0.1,0.42,0.057,-0.108,8,0.55,2,False,False,0.1,0.4902,0.022,1.7906,51,3.16,6.1,5.0,-17.23,0.7021
0.06,0.1,0.42,0.067,-0.103,7,0.65,2,False,False,0.1,0.451,0.024,2.0777,51,4.05,6.53,5.0,-14.7,0.7017
0.06,0.1,0.42,0.067,-0.103,7,0.55,2,False,False,0.1,0.451,0.024,2.0777,51,4.05,6.53,5.0,-14.7,0.7017
0.06,0.1,0.42,0.067,-0.103,7,0.6,2,False,False,0.1,0.451,0.024,2.0777,51,4.05,6.53,5.0,-14.7,0.7017
0.06,0.11,0.41,0.052,-0.103,7,0.65,2,False,False,0.1,0.5088,0.0203,1.9212,57,3.09,6.38,5.0,-10.5,0.7012
0.06,0.11,0.41,0.052,-0.103,7,0.6,2,False,False,0.1,0.5088,0.0203,1.9212,57,3.09,6.38,5.0,-10.5,0.7012
0.06,0.11,0.41,0.052,-0.103,7,0.55,2,False,False,0.1,0.5088,0.0203,1.9212,57,3.09,6.38,5.0,-10.5,0.7012
0.06,0.11,0.41,0.052,-0.103,7,0.5,2,False,False,0.1,0.5088,0.0203,1.9212,57,3.09,6.38,5.0,-10.5,0.7012
0.06,0.11,0.41,0.052,-0.103,7,0.45,2,False,False,0.1,0.5088,0.0203,1.9212,57,3.09,6.38,5.0,-10.5,0.7012
0.06,0.1,0.4,0.067,-0.098,8,0.5,2,False,False,0.1,0.4773,0.0232,1.5164,44,2.96,5.84,5.0,-17.32,0.7009
0.06,0.11,0.43,0.057,-0.098,7,0.55,2,False,False,0.1,0.5,0.0198,2.2855,66,2.62,5.57,5.0,-23.1,0.7009
0.06,0.1,0.4,0.067,-0.083,8,0.45,2,False,False,0.1,0.4773,0.0232,1.5273,44,2.96,5.98,5.0,-12.94,0.7009
